# gaia offsets for plate:9448 pointing:A fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.4172400, -35.6613730, -112.024840, 218.790330, -0.1309, -0.1611, 330.4172763, -35.6613283
330.4878900, -35.3795570, -131.236320, 125.544140, 0.1339, 0.0353, 330.4878528, -35.3795668
330.5437700, -34.8683940, -147.103150, -42.989371, -0.1682, 0.1002, 330.5438167, -34.8684218
330.5803200, -34.7403770, -157.315640, -85.186905, -0.2660, -0.0051, 330.5803939, -34.7403756
330.4687500, -34.1569860, -128.441510, -278.831310, Nan, Nan, Nan, Nan
330.9969100, -35.4820710, -268.854950, 161.008470, -0.0597, 0.0753, 330.9969266, -35.4820919
331.0713200, -35.1506540, -289.909050, 51.421866, 0.2762, 0.1133, 331.0712433, -35.1506855
330.9073800, -34.5133590, -247.459260, -159.940550, -0.1986, -0.0982, 330.9074352, -34.5133317
329.9171300, -34.1467410, 22.691146, -282.279610, Nan, Nan, Nan, Nan
329.6916700, -34.6581760, 83.604884, -112.547580, -0.1690, -0.1367, 329.6917170, -34.6581380
329.9486800, -34.9104420, 13.857467, -29.481634, -0.0752, 0.1154, 329.9487009, -34.9104741
329.5946000, -35.2044550, 109.174600, 67.609964, Nan, Nan, Nan, Nan
330.0571000, -35.8476600, -15.312035, 280.426450, Nan, Nan, Nan, Nan
329.4002300, -34.5634920, 163.085730, -143.639270, -0.2178, -0.0746, 329.4002905, -34.5634713
329.0821500, -35.1621940, 248.017530, 54.754949, 0.1604, -0.1086, 329.0821054, -35.1621638
329.2216800, -35.3507770, 209.741120, 116.718440, 0.1826, 0.0389, 329.2216293, -35.3507878
