# gaia offsets for plate:9448 pointing:B fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
7.8233533, -35.9041000, -86.743427, 299.558810, -0.1717, -0.0873, 7.8234010, -35.9040758
8.1895010, -35.1593250, -186.020040, 53.223277, -0.0370, 0.0752, 8.1895113, -35.1593459
7.5972090, -35.1122970, -26.185397, 36.995225, -0.2811, 0.1702, 7.5972871, -35.1123443
7.8671690, -34.6959880, -99.515199, -100.030880, 0.0613, 0.0874, 7.8671520, -34.6960123
7.8253630, -34.3444020, -88.744278, -216.421740, -0.0615, 0.1622, 7.8253801, -34.3444470
8.2935830, -35.3235440, -213.922910, 107.751770, 0.1482, 0.1320, 8.2935418, -35.3235807
8.3988760, -35.0183750, -243.242250, 7.169907, -0.0193, 0.1687, 8.3988814, -35.0184219
8.4244866, -34.9357910, -250.483560, -20.059168, -0.0335, 0.1619, 8.4244959, -34.9358360
7.4342050, -34.1915510, 17.997100, -267.324330, -0.3413, 0.1117, 7.4342998, -34.1915820
6.8365324, -34.6870960, 180.090380, -102.691340, 0.4060, -0.2788, 6.8364196, -34.6870186
7.2803897, -34.8960660, 59.323164, -34.161441, 0.0930, 0.0706, 7.2803639, -34.8960856
7.0937140, -35.3239440, 109.298120, 107.036840, -0.5881, 0.1363, 7.0938774, -35.3239819
7.2933510, -35.9324530, 55.420392, 308.886980, -0.8157, 0.1461, 7.2935776, -35.9324936
6.5646856, -34.6293670, 254.611160, -121.423850, -0.1154, -0.0099, 6.5647176, -34.6293642
6.7129530, -34.8757360, 213.197370, -40.187643, 0.2355, 0.0990, 6.7128876, -34.8757635
6.7448060, -35.3126720, 203.539810, 104.047550, 0.2073, 0.0258, 6.7447484, -35.3126792
