# gaia offsets for plate:9449 pointing:C fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
329.9752900, 9.1867341, 8.086993, 268.857760, -0.0117, 0.0090, 329.9752932, 9.1867316
330.2637800, 9.5726244, -85.752106, 140.830920, -0.0271, 0.0150, 330.2637875, 9.5726202
330.1577500, 9.8497829, -51.161800, 49.406750, 0.0520, 0.0517, 330.1577356, 9.8497685
330.2974300, 10.2270800, -96.427232, -74.923500, -0.0894, 0.1161, 330.2974548, 10.2270477
330.3500200, 10.7089290, -113.667950, -234.454000, -0.0528, 0.0255, 330.3500347, 10.7089219
330.6739100, 9.6936985, -219.446000, 100.874180, 0.0145, -0.0035, 330.6739060, 9.6936995
330.7549400, 9.8447477, -245.790130, 50.924138, 0.0474, 0.0617, 330.7549268, 9.8447306
330.6208700, 10.3142250, -201.702580, -104.041050, 0.0189, 0.0409, 330.6208648, 10.3142136
329.2681700, 10.5805380, 238.199700, -192.422280, 0.0049, 0.0436, 329.2681686, 10.5805259
329.5180400, 10.1406250, 156.469170, -46.473457, -0.0500, 0.0435, 329.5180539, 10.1406129
329.6041200, 9.8237929, 128.599760, 58.000448, 0.0346, -0.0643, 329.6041104, 9.8238108
329.3845300, 9.7171372, 200.331650, 93.226419, 0.0205, -0.1012, 329.3845243, 9.7171653
329.6348700, 9.3862989, 119.018780, 202.633760, 0.0536, -0.0162, 329.6348551, 9.3863034
329.0588200, 9.9751293, 306.923010, 7.845974, -0.0104, 0.1504, 329.0588229, 9.9750875
329.1613300, 9.9546509, 273.200560, 14.689680, 0.0009, -0.0131, 329.1613297, 9.9546545
329.3204100, 9.6820545, 221.370810, 104.844780, 0.0075, -0.0778, 329.3204079, 9.6820761
