# gaia offsets for plate:9450 pointing:D fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
67.7837900, -0.8444885, -93.920077, 279.466060, -0.0765, -0.0118, 67.7838113, -0.8444852
67.8634060, -0.2045957, -119.788710, 67.416627, -0.0357, 0.0790, 67.8634159, -0.2046177
67.7616420, -0.1645524, -86.200111, 54.189762, -0.1025, -0.0045, 67.7616705, -0.1645511
68.0876860, 0.5091189, -194.262300, -168.307590, 0.0118, 0.0158, 68.0876827, 0.5091145
67.8535160, 0.6941820, -116.855440, -229.480520, -0.0497, 0.0380, 67.8535298, 0.6941715
68.3168620, -0.2837056, -270.276310, 93.848068, -0.0043, 0.0122, 68.3168632, -0.2837090
68.3783750, 0.1210088, -290.704290, -40.067420, -0.1179, 0.0350, 68.3784078, 0.1209991
68.3316330, 0.2624708, -275.187020, -86.869112, -0.1208, 0.0288, 68.3316666, 0.2624628
67.3182060, 0.7694182, 60.098898, -254.378910, -0.0643, 0.0953, 67.3182239, 0.7693917
67.3498720, 0.1257723, 49.442763, -41.439050, 0.2001, 0.1747, 67.3498164, 0.1257238
67.4312630, -0.0723292, 22.633301, 23.794383, -0.0062, -0.0073, 67.4312647, -0.0723272
67.2059270, -0.4611003, 97.012644, 152.087690, 0.0791, -0.0250, 67.2059050, -0.4610934
67.4487260, -0.6574645, 16.929677, 217.057290, -0.0674, 0.0066, 67.4487447, -0.6574663
66.9223740, 0.2966842, 190.711160, -97.970328, -0.4057, 0.2741, 66.9224867, 0.2966080
66.8559500, -0.0975604, 212.647300, 32.190356, 0.0296, 0.0138, 66.8559418, -0.0975643
66.8587790, -0.4515670, 211.974210, 149.255080, -0.0155, 0.0329, 66.8587833, -0.4515761
